Trade_Number,Strategy,Symbol,Timeframe,Direction,EntryTime,ExitTime,Duration,EntryPrice,ExitPrice,Size,PnL,Return_Pct,Run_ID,Filename
278,Ichimokud,ADA,1h,Long,2024-11-09 23:00:00,2024-11-12 18:00:00,2 days 19:00:00,0.4676,0.5703,324676960,33344323.792000003,7130950340.461933,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
228,Ichimokud,ADA,1h,Long,2023-12-04 23:00:00,2023-12-11 03:00:00,6 days 04:00:00,0.4025,0.552,172186761,25741920.7695,6395508265.714286,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
265,Ichimokud,ADA,1h,Short,2024-07-29 16:00:00,2024-08-06 15:00:00,7 days 23:00:00,0.4092,0.3329,-298775227,22796549.82010001,5571004354.86315,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
269,Ichimokud,ADA,1h,Long,2024-08-20 01:00:00,2024-08-25 08:00:00,5 days 07:00:00,0.3411,0.3786,422446874,15841757.774999993,4644314797.713278,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
280,Ichimokud,ADA,1h,Long,2024-11-22 01:00:00,2024-11-24 13:00:00,2 days 12:00:00,0.8274,0.977,218807194,32733556.22239999,3956194854.048826,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
184,Ichimokud,ADA,1h,Long,2023-01-02 00:00:00,2023-01-11 03:00:00,9 days 03:00:00,0.2498,0.3146,130662949,8466959.0952,3389495234.2674146,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
247,Ichimokud,ADA,1h,Short,2024-04-12 13:00:00,2024-04-15 08:00:00,2 days 19:00:00,0.5742,0.4893,-202013778,17150969.752200007,2986933081.191224,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
241,Ichimokud,ADA,1h,Long,2024-02-28 04:00:00,2024-03-05 17:00:00,6 days 13:00:00,0.6179,0.7357,148637081,17509448.1418,2833702563.812915,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
225,Ichimokud,ADA,1h,Long,2023-11-01 20:00:00,2023-11-07 16:00:00,5 days 20:00:00,0.3011,0.3404,205520644,8076961.3092,2682484659.315842,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
203,Ichimokud,ADA,1h,Short,2023-06-07 10:00:00,2023-06-11 17:00:00,4 days 07:00:00,0.337,0.2675,-123742055,8600072.822500002,2551950392.4332347,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
276,Ichimokud,ADA,1h,Short,2024-10-26 15:00:00,2024-10-27 11:00:00,0 days 20:00:00,0.3241,0.3324,-474669213,-3939754.467899988,-1215598416.507247,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
272,Ichimokud,ADA,1h,Long,2024-10-13 06:00:00,2024-10-13 15:00:00,0 days 09:00:00,0.3566,0.3482,458680024,-3852912.201599983,-1080457712.1704946,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
285,Ichimokud,ADA,1h,Short,2024-12-16 13:00:00,2024-12-16 17:00:00,0 days 04:00:00,1.0546,1.1086,-185989012,-10043406.64800001,-952342750.6163484,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
275,Ichimokud,ADA,1h,Short,2024-10-22 14:00:00,2024-10-22 15:00:00,0 days 01:00:00,0.3579,0.365,-440334712,-3126376.455199998,-873533516.4012289,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
260,Ichimokud,ADA,1h,Long,2024-06-26 13:00:00,2024-06-27 03:00:00,0 days 14:00:00,0.3904,0.382,328130928,-2756299.795200006,-706019414.7540998,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
284,Ichimokud,ADA,1h,Long,2024-12-07 01:00:00,2024-12-08 09:00:00,1 days 08:00:00,1.2284,1.1801,166875825,-8060102.347500002,-656146397.5496583,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
268,Ichimokud,ADA,1h,Long,2024-08-17 17:00:00,2024-08-19 07:00:00,1 days 14:00:00,0.337,0.3325,435110287,-1957996.2915000017,-581007801.6320479,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
292,Ichimokud,ADA,1h,Short,2025-02-06 15:00:00,2025-02-07 15:00:00,1 days 00:00:00,0.7309,0.7466,-266255383,-4180209.5131000127,-571926325.5028065,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
229,Ichimokud,ADA,1h,Short,2023-12-17 08:00:00,2023-12-19 02:00:00,1 days 18:00:00,0.594,0.6149,-159373169,-3330899.232100005,-560757446.4814823,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
259,Ichimokud,ADA,1h,Short,2024-06-11 02:00:00,2024-06-12 15:00:00,1 days 13:00:00,0.4339,0.4419,-302008533,-2416068.2640000023,-556826057.6169629,5cbf8f30-bf81-454e-8d92-48ad6c3a62ee,Ichimokud_ADA_1h_20250208
14,Ichimokud,BANANA,1h,Long,2025-01-02 05:00:00,2025-01-06 07:00:00,4 days 02:00:00,39.025,44.113,25355,129006.24000000002,330573.3247918002,16a6b3ec-c88e-41a0-afbf-4cb17ff0a671,Ichimokud_BANANA_1h_20250208
16,Ichimokud,BANANA,1h,Short,2025-01-26 22:00:00,2025-01-30 08:00:00,3 days 10:00:00,39.85,37.764,-29279,61075.99399999996,153264.72772898356,16a6b3ec-c88e-41a0-afbf-4cb17ff0a671,Ichimokud_BANANA_1h_20250208
15,Ichimokud,BANANA,1h,Short,2025-01-09 18:00:00,2025-01-14 19:00:00,5 days 01:00:00,39.73,37.689,-28039,57227.59899999991,144041.2761137677,16a6b3ec-c88e-41a0-afbf-4cb17ff0a671,Ichimokud_BANANA_1h_20250208
12,Ichimokud,BANANA,1h,Long,2024-11-19 20:00:00,2024-11-22 21:00:00,3 days 01:00:00,59.487,64.661,15522,80310.828,135005.6785516163,16a6b3ec-c88e-41a0-afbf-4cb17ff0a671,Ichimokud_BANANA_1h_20250208
11,Ichimokud,BANANA,1h,Short,2024-11-12 11:00:00,2024-11-15 23:00:00,3 days 12:00:00,61.129,57.202,-14247,55947.969,91524.43030312944,16a6b3ec-c88e-41a0-afbf-4cb17ff0a671,Ichimokud_BANANA_1h_20250208
10,Ichimokud,BANANA,1h,Long,2024-10-28 11:00:00,2024-10-30 12:00:00,2 days 01:00:00,53.95,56.477,15483,39125.5409999999,72521.85542168656,16a6b3ec-c88e-41a0-afbf-4cb17ff0a671,Ichimokud_BANANA_1h_20250208
2,Ichimokud,BANANA,1h,Short,2024-09-01 05:00:00,2024-09-02 22:00:00,1 days 17:00:00,39.259,38.819,-24142,10622.479999999943,27057.43905855968,16a6b3ec-c88e-41a0-afbf-4cb17ff0a671,Ichimokud_BANANA_1h_20250208
